CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_05deg,n_10deg,n_20deg,n_025cdeg,n_300cdeg,n_500cdeg
2013ex,83.1942,-14.0459,0.01096,33.4336,0.283424,33.26940885919768,0.1641911408023162,0.283424,0,0,0,0,0,847260
2013gq,124.473,23.4696,0.01457,33.7526,0.2163,33.893416011254246,-0.1408160112542447,0.2163,69502,283957,1064315,18398,2368838,6573936
2013gs,142.787,46.3848,0.01748,34.2221,0.320412,34.29344730935766,-0.0713473093576624,0.320412,46569,182279,723565,12541,1629234,4572478
2014bj,290.663,43.8908,0.04239,36.5106,0.426487,36.25580119942797,0.2547988005720327,0.426487,0,0,0,0,1777,1187087
2016hpw,317.283,-18.1039,0.02019,34.8165,0.241825,34.6107077262156,0.2057922737843966,0.241825,0,0,0,0,0,138747
20227,349.12,-0.0985,0.27574,40.6631,0.213576,40.624325462366414,0.0387745376335857,0.213576,113017,437431,1710319,30119,3493211,8488028
20430,312.417,0.4686,0.16593,39.4938,0.241887,39.39155911353368,0.1022408864663262,0.241887,93938,375838,1576478,22771,3620084,10205150
300105,351.71,-0.7301,0.09181,38.1602,0.266341,38.00666607780474,0.1535339221952654,0.266341,110388,422526,1647001,28108,3502166,8411578
310039,36.2156,-3.3448,0.17156,39.4603,0.214715,39.47116657015734,-0.01086657015734,0.214715,108983,434696,1685622,27601,3817544,10665982
350235,184.35,48.3462,0.26384,40.5588,0.167704,40.51537712415737,0.04342287584263,0.167704,50330,200516,757486,12337,1670157,4547963
360139,185.739,47.5675,0.38594,41.5217,0.152114,41.46689214696262,0.0548078530373814,0.152114,47911,198688,759451,11977,1665499,4583540
360156,150.807,1.8953,0.04673,36.5081,0.209562,36.47406617947381,0.03403382052619,0.209562,66027,255807,1019756,15454,2272428,6313469
420352,35.1822,-3.9625,0.38886,41.383,0.199578,41.4860269789141,-0.1030269789140945,0.199578,108984,440235,1730990,26221,3866288,10638082
430003,333.38,-0.4529,0.32843,40.934,0.295651,41.05983572799887,-0.1258357279988686,0.295651,107511,422556,1670329,27447,3530201,8815835
450339,36.2874,-3.3534,0.40927,41.7061,0.274957,41.61617084497699,0.0899291550230074,0.274957,107902,434789,1682680,27540,3814207,10660432
460003,128.835,43.8555,0.15067,39.1687,0.134119,39.16239469709275,0.0063053029072506,0.134119,48361,193587,750463,12148,1692022,4816024
460105,129.37,44.0453,0.21071,39.9632,0.223017,39.96571433587724,-0.0025143358772368,0.223017,48105,192274,753820,11827,1679673,4812186
490007,184.268,46.6275,0.05513,36.8676,0.194374,36.8456865921438,0.0219134078562035,0.194374,45628,188391,763767,11242,1686390,4607392
500301,215.548,52.6318,0.3255,41.2625,0.255286,41.0373746970852,0.2251253029148046,0.255286,43421,176646,708026,10710,1638861,4601197
510550,243.275,55.6117,0.24106,40.3291,0.130654,40.2935242729349,0.035575727065094,0.130654,50540,200173,803022,12386,1824956,5031065
520071,215.504,53.6193,0.41152,41.8131,0.149106,41.630147425508014,0.1829525744919848,0.149106,42958,172714,714805,10194,1658706,4616193
550137,334.754,0.0297,0.41931,41.4604,0.22264,41.67799547329698,-0.2175954732969813,0.22264,110283,450871,1745639,26612,3653095,8771887
550154,36.3556,-3.5962,0.21003,40.1479,0.148877,39.95788024910866,0.1900197508913379,0.148877,108457,434265,1678323,27254,3816116,10639081
560054,353.296,-0.3364,0.4798,41.8956,0.237796,42.02367916061191,-0.1280791606119038,0.237796,116552,465032,1731289,31262,3486730,8471200
560150,333.961,1.2276,0.19957,39.8965,0.17155,39.83431581805524,0.0621841819447652,0.17155,118861,448698,1640226,30057,3452903,8719779
560152,334.8,1.1602,0.24851,40.3657,0.261564,40.3681352973562,-0.0024352973562002,0.261564,113622,441944,1646818,28412,3469395,8672964
570056,37.0067,-3.495,0.28998,40.7298,0.234493,40.74913259073442,-0.0193325907344217,0.234493,108087,417245,1660811,28462,3772651,10618399
580235,150.235,2.5796,0.33154,41.0301,0.218692,41.08347504960542,-0.053375049605421,0.218692,72532,265171,1004411,18540,2265373,6315835
590005,151.018,1.2155,0.17137,39.5424,0.275502,39.46851993198311,0.0738800680168907,0.275502,61954,249280,1020318,15154,2273253,6307167
744,329.198,0.3175,0.12694,38.6849,0.280884,38.75879710381835,-0.0738971038183535,0.280884,110461,458415,1701786,27968,3598141,9108761
762,15.5353,-0.879,0.19009,39.8807,0.15799,39.71702574182423,0.1636742581757673,0.15799,115652,454367,1782384,28782,3936014,10747664
ASASSN-15fs,284.67,43.4689,0.0285,35.2391,0.185823,35.37228401351213,-0.1331840135121282,0.185823,96619,331300,1077904,24919,2214728,5295288
ASASSN-15nr,261.674,13.9098,0.02309,34.8331,0.263771,34.9067128201049,-0.0736128201048984,0.263771,110257,442626,1755480,26811,3746650,9902123
ASASSN-15tg,5.171,25.229,0.03445,35.861,0.1686,35.7932381069475,0.0677618930524985,0.1686,55500,238318,964014,13202,2182321,5940319
ASASSN-16aj,65.4509,-15.7554,0.03053,35.4654,0.177866,35.52485286570077,-0.05945286570077,0.177866,72556,278484,1211705,19744,2782531,7802840
