CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err
13354,27.5648,-0.8873,0.15654,39.2087,0.210288,39.253005662046476,-0.0443056620464759,0.210288
1336453,40.9697,-1.2293,0.18492,39.7435,0.159325,39.650752095685306,0.09274790431469171,0.159325
1336687,35.6058,-6.1499,0.23381,40.1788,0.292139,40.218841677478345,-0.04004167747834231,0.292139
13370,27.1515,0.3282,0.19846,40.3246,0.238597,39.82085296030183,0.5037470396981689,0.238597
1337325,35.135,-4.6525,0.63866,42.7804,0.261646,42.76711982097971,0.013280179020291882,0.261646
1337649,43.4044,0.5102,0.26151,40.4182,0.225542,40.49351540293243,-0.07531540293243211,0.225542
1337838,35.496,-6.4982,0.31195,40.9503,0.160446,40.93101121445373,0.019288785546265785,0.160446
1338266,34.905,-5.8691,0.64846,43.0397,0.272369,42.80703105560486,0.23266894439514374,0.272369
1338430,40.6393,-1.2547,0.51718,42.0932,0.190441,42.21747278799761,-0.12427278799760444,0.190441
1338471,41.2916,-1.5649,0.53117,42.5253,0.38093,42.28664118580279,0.23865881419720836,0.38093
1341894,35.3025,-4.6502,0.31294,41.0061,0.176794,40.938925465205784,0.0671745347942192,0.176794
1345582,33.7065,-4.6747,0.45878,41.9679,0.252185,41.90840846046906,0.05949153953093855,0.252185
13511,40.6124,-0.7941,0.23653,40.4674,0.193131,40.24710818219528,0.2202918178047213,0.193131
13727,317.588,0.9326,0.22534,40.1329,0.188923,40.12883086263482,0.0040691373651782214,0.188923
13830,351.562,-0.3823,0.32985,40.8444,0.209813,41.07065477922046,-0.22625477922046144,0.209813
13894,1.6906,-0.0368,0.12356,38.8009,0.333367,38.6956259214133,0.10527407858669591,0.333367
13934,342.111,-0.4353,0.32931,41.4109,0.310571,41.06654557021736,0.34435442978264064,0.310571
140152,162.393,57.6157,0.20864,39.8798,0.15965,39.94179308726686,-0.06199308726685615,0.15965
14024,318.199,0.9163,0.14759,39.134,0.188785,39.11352259396751,0.02047740603249082,0.188785
14157,51.1367,1.0224,0.21083,39.806,0.155718,39.96709439044967,-0.16109439044966933,0.155718
14284,49.0493,-0.6009,0.18037,39.3688,0.13762,39.590986167250904,-0.22218616725090357,0.13762
14331,7.8887,-0.1358,0.21976,40.2387,0.220195,40.0678061301878,0.170893869812204,0.220195
14421,31.8299,1.2521,0.174,39.5734,0.137128,39.5049145911986,0.06848540880140064,0.137128
14437,332.081,-1.1964,0.14792,39.0382,0.157931,39.11880428243464,-0.08060428243463491,0.157931
14984,313.834,-0.0928,0.19549,39.9082,0.195934,39.78448428474532,0.12371571525468283,0.195934
150254,183.211,47.1458,0.27508,40.5286,0.241865,40.61839770321263,-0.08979770321263203,0.241865
150509,241.234,54.8781,0.2928,40.7458,0.174302,40.77317576634832,-0.027375766348313846,0.174302
15201,337.519,0.0036,0.20736,40.316,0.333666,39.92689095524595,0.3891090447540506,0.333666
15234,16.9583,0.8282,0.13514,39.0775,0.31333,38.90571503447942,0.17178496552057965,0.31333
15287,323.96,-1.0574,0.2363,40.3805,0.155735,40.24472966036865,0.13577033963134966,0.155735
15354,6.7737,-0.126,0.22069,40.0798,0.266821,40.07807576584961,0.0017242341503873604,0.266821
15421,33.7416,0.6025,0.18443,39.7891,0.142656,39.64438183437892,0.14471816562107875,0.142656
15440,39.7207,0.0901,0.2613,40.447,0.207526,40.49153620841223,-0.044536208412225164,0.207526
