CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_025cdeg,n_050cdeg,n_100cdeg,n_200cdeg,n_300cdeg,n_500cdeg
1295305,36.2434,-4.2509,0.61171,42.701,0.16444,42.65428566864381,0.0467143313561919,0.16444,27732,107984,434770,1692791,3822095,10582693
1295921,42.6149,-0.8718,0.52393,42.1774,0.369236,42.25106209606014,-0.0736620960601399,0.369236,24158,96848,395907,1600183,3591488,9479452
12977,13.6956,-0.2509,0.24643,40.2829,0.214739,40.34751449226054,-0.0646144922605387,0.214739,28122,113501,452370,1771678,4003545,10874348
1298281,40.2679,-0.9553,0.23508,40.1629,0.275154,40.232077260969874,-0.069177260969873,0.275154,27070,107967,436756,1689650,3732367,10365143
1300516,34.5464,-5.0101,0.31043,40.6197,0.336421,40.91881479880358,-0.2991147988035791,0.336421,25517,103853,425960,1719280,3857633,10601116
13044,332.543,0.5033,0.12455,38.7616,0.12587,38.714295412079295,0.0473045879207063,0.12587,32606,119421,463415,1706398,3552529,8758262
1305626,35.6546,-4.1333,0.32573,41.0478,0.141716,41.03914458897528,0.0086554110247263,0.141716,29097,113938,438384,1712313,3850494,10612958
1306029,40.8416,-1.9578,0.42895,41.8266,0.250757,41.736076365868776,0.0905236341312232,0.250757,27120,108290,424564,1674164,3715946,10266833
1306073,36.8506,-3.7494,0.32859,41.1,0.144172,41.06105693336829,0.0389430666317096,0.144172,26567,106907,421258,1669727,3792902,10605265
13070,357.785,-0.7463,0.19719,39.8018,0.14158,39.80536358045043,-0.0035635804504323,0.14158,27532,105407,405999,1601984,3433904,8918649
1308326,42.2701,0.5823,0.32622,41.0504,0.157201,41.04291138298791,0.0074886170120933,0.157201,23569,95267,395584,1615671,3623618,9482503
1308582,37.1372,-4.3728,0.36705,41.2088,0.151911,41.33976533829163,-0.1309653382916309,0.151911,24620,101730,419068,1685495,3783205,10552420
1314897,36.6066,-4.1552,0.33663,41.0367,0.18424,41.12172611066104,-0.0850261106610403,0.18424,26614,106002,427451,1683008,3803892,10584165
1316431,42.2394,-0.4084,0.19815,39.8879,0.174409,39.81708058799896,0.0708194120010432,0.174409,25881,102744,407412,1619932,3626023,9631245
1316437,42.5626,-0.745,0.47196,42.0374,0.25691,41.9812471804617,0.0561528195382976,0.25691,23737,96737,395677,1604488,3596700,9498899
1317286,36.0079,-6.8106,0.28198,40.5986,0.166629,40.67973150869896,-0.0811315086989594,0.166629,26333,105620,414794,1655507,3734642,10354087
1317666,36.7711,-5.0031,0.1412,39.1237,0.260864,39.00900881006358,0.1146911899364226,0.260864,26648,104411,417538,1723766,3779909,10476767
13254,42.0587,-0.347,0.1799,39.9979,0.268081,39.58473290564051,0.413167094359494,0.268081,27115,106390,414669,1627135,3645704,9708925
1330642,37.0406,-4.0471,0.63392,42.5972,0.147609,42.74760630714606,-0.1504063071460564,0.147609,25802,102859,417260,1679090,3795397,10580792
