CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_05deg,n_10deg,n_20deg,log_rho_05,log_rho_10,log_rho_20,rho_05_std,rho_10_std,rho_20_std,grad_logrho_logr,abs_grad,multiscale_var,sparse_reconnection,neck_score,abs_resid,low_density_tail,high_density_bulk
16093,350.362,1.1325,0.33439,41.1204,0.23572,41.10495892647402,0.0154410735259773,0.23572,104136,404077,1515549,5.1225151809094305,5.10931533325781,5.081360404867551,0.40198693620936604,0.3831592964090017,0.3608202420630025,-0.029686895652257624,0.029686895652257624,0.021013605078566543,0.0,-0.6604210928164352,0.0154410735259773,0,0
16350,323.639,-0.8858,0.23684,40.2279,0.210237,40.25031063580981,-0.0224106358098126,0.210237,138733,501605,1848352,5.247093026735658,5.203212850007527,5.16757505270611,0.4951229116145739,0.4458826433306939,0.4128145502006791,-0.05736009339698296,0.05736009339698296,0.03983011988422978,0.0,-0.4280964006330493,0.0224106358098126,0,1
17220,9.7015,-0.1792,0.17769,39.3394,0.257355,39.55512407924062,-0.2157240792406227,0.257355,115306,460230,1822468,5.166765791662216,5.165825995605261,5.161450285728717,0.4350692532730728,0.42090830194065715,0.4091208272721765,-0.0038343270250374728,0.0038343270250374728,0.002836801511133659,0.0,-0.881120042155682,0.2157240792406227,0,1
17340,41.2121,0.3648,0.25625,40.3729,0.207312,40.44349349522032,-0.0705934952203151,0.207312,107470,431453,1684074,5.136201408568437,5.137784626983757,5.1271515648047385,0.41221893335288157,0.4021767257170405,0.38843596328260394,-0.006528082359353585,0.006528082359353585,0.005736843847750463,0.0,-0.8519704418951116,0.0705934952203151,0,1
18030,4.933,-0.4001,0.15518,39.3994,0.175858,39.23229835340023,0.1671016465997752,0.175858,106251,424520,1694322,5.131247232234191,5.130749305887109,5.129786342294804,0.4085151283772924,0.39747714578004617,0.3900249442287329,-0.0010538093354190057,0.0010538093354190057,0.0007426785915662502,0.0,-0.9057079636820059,0.1671016465997752,0,0
18617,345.762,0.8492,0.3257,41.1639,0.271274,41.03891379897301,0.1249862010269851,0.271274,118371,439843,1604762,5.178159104098543,5.146148799355161,5.106201038517984,0.44358703795473925,0.4077639755562751,0.375801125158115,-0.05190677218251777,0.05190677218251777,0.03605192183449805,0.0,-0.4743079376774664,0.1249862010269851,0,1
18650,328.447,0.0151,0.11243,38.6214,0.163201,38.47544638911949,0.145953610880511,0.163201,105418,424210,1727333,5.127829010833942,5.1304320531020675,5.138166457524566,0.40595962276430214,0.39726522157601124,0.39507882201411065,0.007456891538008537,0.007456891538008537,0.005376796519953426,0.010337446690623864,-0.6918533210205904,0.145953610880511,0,0
18740,16.8553,1.0437,0.15317,39.0991,0.159928,39.20138166059132,-0.1022816605913234,0.159928,112390,456012,1882128,5.155641654005389,5.161827350996153,5.175439522374241,0.42675270706584767,0.41823721561467697,0.4175574525904203,0.014281143257957627,0.014281143257957627,0.010128422457276472,0.019797868368852,-0.48893295455773156,0.1022816605913234,0,1
18807,46.6409,0.7933,0.18714,39.7694,0.13671,39.67941821617536,0.0899817838246406,0.13671,61683,252999,1080847,4.895082647126816,4.905970648481684,4.9345547592533885,0.23195549336142535,0.24732546768388217,0.2722847302239169,0.0284731102092099,0.0284731102092099,0.020386464454981802,0.03947211212657287,-0.06463015406911299,0.0899817838246406,0,0
18927,46.6825,-0.754,0.21214,39.9374,0.243726,39.9821128492864,-0.0447128492864052,0.243726,64868,248684,1058807,4.916947321669198,4.898499717908772,4.9256073500038235,0.2483018009807012,0.24233490151798742,0.2668887289037362,0.006246889966160845,0.006246889966160845,0.013845179022912053,0.008660028334625203,-0.6708847305185479,0.0447128492864052,0,0
18940,10.349,0.412,0.21099,39.9552,0.163264,39.968933331946175,-0.0137333319461774,0.163264,120783,473941,1832192,5.186919526661238,5.178575324209529,5.163761355539095,0.4501364408194867,0.4294248270708763,0.41051458667224405,-0.01670508931698663,0.01670508931698663,0.011728741563968283,0.0,-0.7722074052080795,0.0137333319461774,0,1
19027,328.884,-0.372,0.29114,40.484,0.219145,40.75904870471513,-0.2750487047151253,0.219145,105057,422568,1686511,5.1263392474706935,5.128747761000012,5.127779571639644,0.404845856805043,0.39614011793651577,0.38881470148667113,0.0010389742679089917,0.0010389742679089917,0.001211944839923555,0.0014403241689509017,-0.8808328229900639,0.2750487047151253,0,0
19207,333.464,-0.9203,0.25721,40.5776,0.249962,40.45269326914142,0.1249067308585765,0.249962,103771,404268,1573547,5.120990305615454,5.109520567513859,5.097670131283819,0.4008469201259773,0.38329639246742747,0.37065630776864217,-0.01682194993045757,0.01682194993045757,0.011660605057337544,0.0,-0.7721290699222382,0.1249067308585765,0,0
19230,332.891,0.7648,0.22005,39.9228,0.242946,40.07101279796318,-0.1482127979631755,0.242946,123558,474672,1688744,5.196784503402127,5.179244656507903,5.128354212160101,0.45751162237780346,0.42987193966139037,0.3891612555472405,-0.04936202091072938,0.04936202091072938,0.035543842210379414,0.0,-0.48819631756235915,0.1482127979631755,0,1
1990O,258.901,16.322,0.03093,35.4926,0.166476,35.55373979440757,-0.0611397944075662,0.166476,91038,357229,1449587,5.064137597288656,5.055798050891256,5.062034721142765,0.35834311530156204,0.34740986251150013,0.34916531358217856,-0.0015169044936407994,0.0015169044936407994,0.004337168393191808,0.0,-0.8817610809371292,0.0611397944075662,0,0
19940,315.393,-0.2685,0.15591,38.9704,0.179204,39.243434278857805,-0.273034278857807,0.179204,85102,343044,1537893,5.034854988477303,5.0382012210215406,5.087716538542442,0.33645106606947955,0.3356552165650888,0.36465349756124904,0.038131548066340046,0.038131548066340046,0.029600978071467617,0.05286155006513926,0.23779169866675942,0.273034278857807,0,0
1996bl,9.0749,11.3946,0.03481,35.7348,0.155656,35.81636803549163,-0.0815680354916281,0.155656,52366,231233,911055,4.823967813391438,4.866901819194301,4.86033520860789,0.17878914294176557,0.22122757055047065,0.22752442228496794,0.026233530364412033,0.026233530364412033,0.02312659603034074,0.036367395216451825,-0.10492731760807783,0.0815680354916281,0,0
2000dg,1.5575,8.8882,0.03725,36.0748,0.289284,35.967239448921376,0.1075605510786275,0.289284,52272,207841,882814,4.823187544043576,4.820583440137901,4.846659839672194,0.17820580369464706,0.190286989170146,0.21927708422623732,0.0169316822508431,0.0169316822508431,0.014362617170400042,0.023472295628617523,-0.3955089083388947,0.1075605510786275,0,0
2000dk,16.848,32.4064,0.01649,34.1436,0.28269,34.16527333072595,-0.0216733307259531,0.28269,58787,183050,587983,4.874198804137784,4.765422233062589,4.670155644356334,0.21634246783435196,0.15343941696835445,0.11283097850148557,-0.14718602737200603,0.14718602737200603,0.10209609557683219,0.0,0.3332877155819851,0.0216733307259531,1,0
2000dm,274.746,16.2482,0.01472,34.0109,0.270222,33.91589604458839,0.095003955411606,0.270222,0,0,0,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,-3.3492381598242233,-3.361947861798997,-3.3665565214419995,-0.8685889638065035,0.8685889638065035,0.6020599913279623,0.0,6.44743368343028,0.095003955411606,1,0
2001br,277.607,34.1036,0.02046,34.8118,0.300223,34.639980330515435,0.171819669484563,0.300223,95140,386841,1538796,5.0832778304875195,5.090383747261847,5.087971466923888,0.3726525960654681,0.37051303613177,0.3648072397054231,0.0033857430052420096,0.0033857430052420096,0.0036134787631261146,0.004693636436368109,-0.8063568837542835,0.171819669484563,0,0
2002de,244.127,35.7084,0.0305,35.3638,0.283742,35.52267142458615,-0.1588714245861524,0.283742,52807,207012,834489,4.827609838377358,4.818847746439053,4.822211272714151,0.1815119669500317,0.18912754937033888,0.20453264861337658,-0.0038942419551107363,0.0038942419551107363,0.004420257823523749,0.0,-0.8711813162261297,0.1588714245861524,0,0
2002jy,20.3178,40.4987,0.0187,34.9988,0.187715,34.441879852468034,0.5569201475319687,0.187715,0,0,0,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,-3.3492381598242233,-3.361947861798997,-3.3665565214419995,-0.8685889638065035,0.8685889638065035,0.6020599913279623,0.0,6.44743368343028,0.5569201475319687,1,0
2003kc,146.643,30.6553,0.0341,35.8566,0.205773,35.770523081693135,0.0860769183068654,0.205773,60092,242724,979488,4.883734004306636,4.887964637065446,4.891789699058913,0.2234711042505632,0.23529748931096026,0.2464939884761628,0.005810955435012453,0.005810955435012453,0.004029548583808505,0.008055694752276743,-0.7420261725075008,0.0860769183068654,0,0
20040,328.879,0.8151,0.28655,40.6389,0.217509,40.71959602270656,-0.0806960227065616,0.217509,121403,454886,1666283,5.189143114675449,5.160753652816985,5.122539160132294,0.45179882338220806,0.4175199874523962,0.385654315432649,-0.04804459746150211,0.04804459746150211,0.033422536699429364,0.0,-0.5067521129648705,0.0806960227065616,0,1
2004br,187.783,0.6132,0.02426,34.807,0.18246,35.01588403420042,-0.2088840342004161,0.18246,66809,253990,1022575,4.9297515903875295,4.907668455266015,4.910485731536542,0.25787443444954145,0.24845959910317675,0.25776918704119234,-0.013897379511393224,0.013897379511393224,0.01201925690746385,0.0,-0.7823253581242087,0.2088840342004161,0,0
2004gs,129.597,17.6277,0.02829,35.5996,0.235009,35.35589709211966,0.2437029078803405,0.235009,68368,251253,989375,4.939769346366863,4.902963111820379,4.896151507142529,0.2653638357015751,0.24531643941650463,0.24912450659834526,-0.0314636201716199,0.0314636201716199,0.02346491266543168,0.0,-0.637901081006559,0.2437029078803405,0,0
2004gu,191.603,11.9489,0.0467,36.4713,0.19409,36.47262618018118,-0.0013261801811808,0.19409,66695,253678,997251,4.929009907122807,4.907134644343907,4.899595051943078,0.25731994264689767,0.2481030145116245,0.2512012387306963,-0.021218332848130933,0.021218332848130933,0.015278559489586351,0.0,-0.7313753389930875,0.0013261801811808,0,0
2005de,270.597,26.0521,0.01495,34.1793,0.26677,33.949928923674754,0.2293710763252434,0.26677,105826,445615,1698310,5.129506603488415,5.151810903248381,5.130807358526769,0.40721381228067005,0.41154624924246597,0.3906406984411465,0.0009382964216224254,0.0009382964216224254,0.012518803472676593,0.00130075503835414,-0.8142415794462537,0.2293710763252434,0,1
2005kc,338.531,5.5684,0.01386,34.0187,0.307194,33.78380361956941,0.234896380430591,0.307194,64788,246982,997228,4.916411395417657,4.895517188823527,4.899585035529701,0.24790113572716815,0.24034257825967953,0.25119519803463575,-0.012137652983283466,0.012137652983283466,0.011077316410139728,0.0,-0.7955416132156989,0.234896380430591,0,0
