CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_05deg,n_10deg,n_20deg,n_025cdeg,n_300cdeg,n_500cdeg,log_rho_025,log_rho_050,log_rho_100,log_rho_200,log_rho_300,log_rho_500,rho_100_std,full_grad_logrho_logr,abs_full_grad,multiscale_var,grad_0.25-1.00deg,abs_grad_0.25-1.00deg,grad_0.50-2.00deg,abs_grad_0.50-2.00deg,grad_1.00-3.00deg,abs_grad_1.00-3.00deg,grad_2.00-5.00deg,abs_grad_2.00-5.00deg,best_window_abs_grad,graph_degree,neighbor_log_rho_mean,neighbor_log_rho_std,own_minus_neighbor,abs_own_minus_neighbor,neighbor_high_low_pairs,corridor_betweenness,graph_neck_score,abs_resid
091869,351.908,-1.7625,0.28843,40.7458,0.165419,40.73582531589023,0.0099746841097712,0.165419,91728,343589,1436071,24436,3191476,8288916,5.095017998790227,5.067416777628734,5.038890642744414,5.057966350549099,5.052599336815954,5.0234079095400626,0.33611574884960466,-0.01826286456135048,0.01826286456135048,0.024588902600268196,-0.040487329112752025,0.040487329112752025,-0.006817042141036696,0.006817042141036696,0.014097969900334033,0.014097969900334033,-0.0385422996049051,0.0385422996049051,0.006817042141036696,6,5.132917220809164,0.017853209709847086,-0.09402657806475023,0.09402657806475023,0.0,0.005006348630509702,-0.7138402679095821,0.0099746841097712
100101,132.141,43.9852,0.42967,41.9219,0.19807,41.74036552575,0.1815344742500002,0.19807,46417,181032,737473,11738,1715913,4803769,4.7766012125821335,4.771596542826199,4.760607875719686,4.7685368496374965,4.78310313549264,4.7864923242501956,0.15022343622385007,0.0037146919898191195,0.0037146919898191195,0.009583575287654576,-0.011536753889359612,0.011536753889359612,-0.0022071020949913185,0.0022071020949913185,0.019502947828304244,0.019502947828304244,0.019044353351475717,0.019044353351475717,0.0022071020949913185,2,4.782438006904163,0.011549650980954314,-0.021830131184477075,0.021830131184477075,0.0,0.0,-1.2845251784024272,0.1815344742500002
10550,349.675,-1.2049,0.29923,41.0113,0.341681,40.82720813664015,0.1840918633598463,0.341681,121286,442575,1551366,31803,3346995,8389234,5.209451854747491,5.1887243726675525,5.148837986625593,5.091504685062136,5.073262811198634,5.028632478696596,0.4095603470891913,-0.06171559886492856,0.06171559886492856,0.07047158066878056,-0.0437236634742799,0.0437236634742799,-0.07012918059255402,0.07012918059255402,-0.07029074413298844,0.07029074413298844,-0.0694139117761334,0.0694139117761334,0.07012918059255402,6,5.117485874656429,0.04075763375914326,0.031352111969163765,0.031352111969163765,0.0,0.0019731140536509663,-1.0322995351811544,0.1840918633598463
110716,128.986,43.4945,0.31577,41.2033,0.233304,40.961422221859536,0.2418777781404628,0.233304,48755,193978,757194,12518,1708947,4826453,4.804539749393162,4.792938187007865,4.790604843433134,4.779997873494202,4.781336466042727,4.788538290002932,0.1702613485948932,-0.006346419014867404,0.006346419014867404,0.008910020394276425,-0.010051909861893069,0.010051909861893069,-0.009334463066854691,0.009334463066854691,-0.009175805153840524,0.009175805153840524,0.009523926356954735,0.009523926356954735,0.009334463066854691,3,4.773883997809253,0.013086831934341955,0.01672084562388143,0.01672084562388143,0.0,0.0,-1.282954500574684,0.2418777781404628
1279500,36.9257,-4.3149,0.23471,40.2784,0.167703,40.22822806175505,0.0501719382449508,0.167703,103173,420967,1685693,25878,3793178,10559202,5.1199176005491545,5.118480386863325,5.127099211379977,5.127568876982696,5.127610955396115,5.128541257876636,0.3950388902010613,0.003456906558699878,0.003456906558699878,0.004440669028284078,0.005180437165611024,0.005180437165611024,0.006555959812192496,0.006555959812192496,0.0004886138146551075,0.0004886138146551075,0.0010935494232314907,0.0010935494232314907,0.006555959812192496,8,5.099494019134439,0.08160816102114855,0.027605192245538035,0.027605192245538035,0.0,0.03328881978900452,2.538899477220238,0.0501719382449508
12860,323.694,1.1759,0.12042,38.7926,0.252257,38.63546571537832,0.1571342846216765,0.252257,125633,479079,1792735,32501,3945143,9915645,5.218880195932638,5.204017305918452,5.183258168189186,5.154306475632213,5.144670477696907,5.101231132192408,0.4325529571608241,-0.037209245432189696,0.037209245432189696,0.04314688186436838,-0.025695861385943652,0.025695861385943652,-0.03585878416621496,0.03585878416621496,-0.03583951570311663,0.03583951570311663,-0.059077760487215865,0.059077760487215865,0.03585878416621496,6,5.100566527603399,0.047867925453485026,0.08269164058578671,0.08269164058578671,0.0,0.0001995622603597337,-1.2249236857430301,0.1571342846216765
12927,41.7861,0.7751,0.18892,39.4384,0.149571,39.70217550463772,-0.2637755046377137,0.149571,99969,411541,1651741,25574,3665995,9653800,5.1147857523459885,5.104779810742096,5.117264291124984,5.118732348013871,5.112799604630526,5.089608460817698,0.38846918381845935,-0.004110234321707839,0.004110234321707839,0.010974002456243744,0.0017878878025539841,0.0017878878025539841,0.010064628164903654,0.010064628164903654,-0.003398254153403299,0.003398254153403299,-0.03236383540812967,0.03236383540812967,0.010064628164903654,8,5.045019747185179,0.12434626294209597,0.07224454393980473,0.07224454393980473,0.0,0.0010136630394686134,-1.0550250084050445,0.2637755046377137
12950,351.667,-0.8403,0.08141,37.7215,0.219648,37.73073694675067,-0.0092369467506685,0.219648,108642,418215,1632292,26648,3480633,8399377,5.132651026790415,5.140911868072621,5.124250771231775,5.113588254159134,5.090265976072624,5.029157245032672,0.3931361380752777,-0.030632542145591298,0.030632542145591298,0.04115262645153802,-0.006059503518324932,0.006059503518324932,-0.019709821146076292,0.019709821146076292,-0.029259672908364488,0.029259672908364488,-0.09331370300355317,0.09331370300355317,0.019709821146076292,5,5.06161299736966,0.10116084637470882,0.06263777386211533,0.06263777386211533,0.0,0.01918006213308227,0.9687409326422616,0.0092369467506685
1306073,36.8506,-3.7494,0.32859,41.1,0.144172,41.06105693336829,0.0389430666317096,0.144172,106907,421258,1669727,26567,3792902,10605265,5.13132897255212,5.133920323616767,5.127399319781305,5.123435865975705,5.127579354030072,5.130431684544723,0.3952393619922461,-0.0015297883643701628,0.0015297883643701628,0.003666657801273754,-0.0028346452824348878,0.0028346452824348878,-0.007562937522585182,0.007562937522585182,-0.00046950389682574856,0.00046950389682574856,0.007547659411099921,0.007547659411099921,0.007562937522585182,7,5.129946779477486,0.010017364893020892,-0.002547459696180532,0.002547459696180532,0.0,0.004646744980584165,-0.7623762429160451,0.0389430666317096
13070,357.785,-0.7463,0.19719,39.8018,0.14158,39.80536358045043,-0.0035635804504323,0.14158,105407,405999,1601984,27532,3433904,8918649,5.146823644728239,5.12778369178747,5.111376160883061,5.105448581279352,5.084395893972021,5.0552092396106545,0.38453592499896677,-0.02762042725009,0.02762042725009,0.032288202880950266,-0.025569954577715402,0.025569954577715402,-0.016111376583884555,0.016111376583884555,-0.02283485165534009,0.02283485165534009,-0.05492720799846485,0.05492720799846485,0.016111376583884555,7,5.139983880271828,0.04719581614372573,-0.028607719388767272,0.028607719388767272,0.0,0.052240159622709954,4.639661132595021,0.0035635804504323
